iter	MultiClass
0	2.416558869
1	2.227469487
2	2.060147747
3	1.931317781
4	1.8347785
5	1.742944165
6	1.645872587
7	1.574935285
8	1.513297318
9	1.455086054
10	1.401452804
11	1.329366722
12	1.275591077
13	1.228286865
14	1.174001624
15	1.118767764
16	1.082104436
17	1.036265278
18	0.9923563944
19	0.961943694
20	0.9234593761
21	0.8882269395
22	0.8579728246
23	0.8289856051
24	0.8042524749
25	0.7777633073
26	0.7505958132
27	0.7235463623
28	0.7057642907
29	0.6848910384
30	0.6629257509
31	0.6471799017
32	0.6330337528
33	0.6193592359
34	0.6037463675
35	0.5913140451
36	0.5743075524
37	0.5581341356
38	0.5432314216
39	0.528782831
40	0.5160420648
41	0.5031510097
42	0.4899998538
43	0.4790202383
44	0.4659700941
45	0.454580504
46	0.4439963377
47	0.4340523733
48	0.4242034955
49	0.414024674
50	0.4062935965
51	0.3979964859
52	0.3891565282
53	0.3829643836
54	0.3743012818
55	0.3667191737
56	0.3593841517
57	0.3532457203
58	0.3455886794
59	0.338441987
60	0.3321637547
61	0.3260855223
62	0.3203817074
63	0.3143155332
64	0.3089341075
65	0.303223712
66	0.2976337235
67	0.2921143446
68	0.2877041749
69	0.2825874586
70	0.2780409895
71	0.2736745033
72	0.2696002858
73	0.2656480134
74	0.2614658976
75	0.2571464262
76	0.253749339
77	0.2496784932
78	0.2459265992
79	0.2424203152
80	0.2389888168
81	0.2351325312
82	0.232071635
83	0.2286704427
84	0.2251240349
85	0.2222341067
86	0.2188043702
87	0.2156506899
88	0.2121696833
89	0.2097758756
90	0.207366062
91	0.2045823953
92	0.2019077448
93	0.1999199172
94	0.197684019
95	0.1949812453
96	0.1924016535
97	0.1899809709
98	0.1879077784
99	0.1857036351
100	0.1836209443
101	0.1815794826
102	0.1795072877
103	0.1778652973
104	0.1759970524
105	0.1738866812
106	0.1716803184
107	0.1701316266
108	0.1686788441
109	0.1667307064
110	0.165180206
111	0.1631430715
112	0.1613983833
113	0.1597773786
114	0.158084687
115	0.1566003556
116	0.1549351662
117	0.1534107988
118	0.1519864062
119	0.1506233916
120	0.149110625
121	0.1476197609
122	0.1462081866
123	0.1450086036
124	0.1434662675
125	0.1422171552
126	0.1408859897
127	0.1396626185
128	0.138554701
129	0.1374315426
130	0.136410981
131	0.1353142349
132	0.1342829384
133	0.1331790082
134	0.1320697453
135	0.1309713506
136	0.1299319905
137	0.1289683909
138	0.128003992
139	0.1270817077
140	0.1262400657
141	0.125415429
142	0.1244755149
143	0.1236071409
144	0.1228816675
145	0.1219984839
146	0.1212021969
147	0.1202743193
148	0.1195526076
149	0.1187502368
150	0.1179321574
151	0.1171350384
152	0.1164050118
153	0.115653306
154	0.1149607193
155	0.1142402156
156	0.1135650849
157	0.112911865
158	0.1122626532
159	0.1114655247
160	0.1107181894
161	0.1101600627
