iter	Passed	Remaining
231	5007	5784
232	5028	5762
233	5048	5738
234	5067	5714
235	5088	5692
236	5108	5668
237	5127	5644
238	5146	5620
239	5165	5595
240	5184	5572
241	5204	5548
242	5224	5525
243	5244	5502
244	5266	5481
245	5287	5459
246	5307	5436
247	5329	5415
248	5352	5395
249	5373	5373
250	5395	5352
251	5415	5329
252	5435	5306
253	5456	5285
254	5479	5265
255	5500	5242
256	5520	5219
257	5539	5195
258	5558	5171
259	5577	5148
260	5597	5125
261	5616	5101
262	5635	5078
263	5655	5056
264	5675	5033
265	5694	5009
266	5713	4986
267	5732	4962
268	5753	4941
269	5773	4918
270	5793	4895
271	5813	4872
272	5833	4850
273	5852	4827
274	5873	4805
275	5892	4782
276	5911	4759
277	5931	4736
278	5949	4712
279	5969	4690
280	5987	4666
281	6008	4645
282	6029	4623
283	6052	4602
284	6075	4583
285	6094	4560
286	6113	4536
287	6133	4514
288	6152	4491
289	6172	4469
290	6190	4446
291	6210	4423
292	6229	4401
293	6248	4378
294	6266	4354
295	6285	4331
296	6305	4309
297	6323	4286
298	6342	4263
299	6360	4240
300	6379	4217
301	6398	4195
302	6417	4172
303	6436	4149
304	6454	4126
305	6474	4104
306	6493	4082
307	6512	4059
308	6531	4037
309	6550	4014
310	6570	3992
311	6588	3970
312	6610	3949
313	6629	3927
314	6648	3904
315	6667	3882
316	6686	3860
317	6704	3837
318	6723	3815
319	6743	3792
320	6762	3770
321	6781	3748
322	6800	3726
323	6819	3704
324	6838	3682
325	6857	3659
326	6877	3638
327	6896	3616
328	6915	3594
329	6934	3572
330	6954	3550
331	6974	3529
332	6993	3507
333	7014	3486
334	7033	3464
335	7051	3441
336	7069	3419
337	7089	3397
338	7108	3376
339	7127	3354
340	7146	3332
341	7165	3310
342	7183	3288
343	7202	3266
344	7220	3244
345	7239	3222
346	7258	3200
347	7278	3178
348	7296	3157
349	7315	3135
350	7333	3113
351	7352	3091
352	7372	3070
353	7391	3048
354	7411	3027
355	7430	3005
356	7450	2984
357	7470	2963
358	7489	2941
359	7509	2920
360	7528	2898
361	7547	2877
362	7574	2858
363	7594	2837
364	7613	2815
365	7635	2795
366	7654	2773
367	7673	2752
368	7692	2730
369	7711	2709
370	7730	2687
371	7750	2666
372	7768	2645
373	7787	2623
374	7807	2602
375	7827	2581
376	7845	2559
377	7865	2538
378	7884	2517
379	7904	2496
380	7922	2474
381	7941	2453
382	7961	2432
383	7981	2411
384	8000	2389
385	8020	2368
386	8039	2347
387	8059	2326
388	8079	2305
389	8101	2285
390	8124	2264
391	8150	2245
392	8172	2224
393	8193	2204
394	8215	2183
395	8234	2162
396	8253	2141
397	8273	2120
398	8293	2099
399	8313	2078
400	8333	2057
401	8353	2036
402	8372	2015
403	8391	1994
404	8415	1973
405	8437	1953
406	8456	1932
407	8477	1911
408	8497	1890
409	8516	1869
410	8537	1848
411	8556	1827
412	8574	1806
413	8594	1785
414	8614	1764
415	8632	1743
416	8653	1722
417	8671	1701
418	8690	1679
419	8708	1658
420	8727	1637
421	8745	1616
422	8764	1595
423	8782	1574
424	8801	1553
425	8820	1532
426	8838	1511
427	8856	1489
428	8875	1468
429	8895	1448
430	8914	1427
431	8933	1406
432	8953	1385
433	8972	1364
434	8990	1343
435	9010	1322
436	9030	1301
437	9050	1281
438	9072	1260
439	9091	1239
440	9109	1218
441	9128	1197
442	9146	1176
443	9164	1155
444	9183	1134
445	9202	1114
446	9220	1093
447	9239	1072
448	9257	1051
449	9277	1030
450	9297	1010
451	9316	989
452	9334	968
453	9352	947
454	9371	926
455	9390	906
456	9408	885
457	9430	864
458	9449	844
459	9468	823
460	9487	802
461	9507	781
462	9526	761
463	9546	740
464	9566	720
465	9586	699
466	9607	678
467	9625	658
468	9644	637
469	9666	617
470	9686	596
471	9704	575
472	9723	555
473	9741	534
474	9760	513
475	9779	493
476	9798	472
477	9817	451
478	9837	431
479	9856	410
480	9874	390
481	9894	369
482	9913	348
483	9933	328
484	9954	307
485	9973	287
486	9992	266
487	10012	246
488	10031	225
489	10052	205
490	10073	184
491	10098	164
492	10120	143
493	10139	123
494	10157	102
495	10176	82
496	10195	61
497	10213	41
498	10233	20
499	10251	0
